beast,0.845825
blastn,0.497365
gunzip,0.054116
muscle,1.330236
nhmmer,0.621253
phyml,1.401768
prokka,0.112731
snippy,0.727940
velvetg,1.191412
velveth,1.062123
geometric mean,0.554311

beast,,,,,,,,,,,,,avg,stdev,min,max
Voluntary context switches,20.0,18.0,21.0,21.0,21.0,18.0,20.0,18.0,17.0,17.0,19.0,,19.09090909090909,1.5782614139961386,17.0,21.0
Involuntary context switches,95.0,159.0,100.0,106.0,103.0,193.0,103.0,266.0,259.0,164.0,200.0,,158.9090909090909,64.00695984883917,95.0,266.0
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,2328.0,2328.0,2328.0,2328.0,2328.0,2328.0,2328.0,2328.0,2328.0,2328.0,2328.0,,2328.0,0.0,2328.0,2328.0
File system outputs,72.0,72.0,72.0,72.0,72.0,96.0,72.0,96.0,80.0,96.0,72.0,,79.27272727272727,11.000826415237258,72.0,96.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Page size (bytes),4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,,4096.0,0.0,4096.0,4096.0
Exit status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Submission date and time,  2015-07-24 00:43:12,  2015-07-24 01:46:18,  2015-07-24 02:49:59,  2015-07-24 03:54:00,  2015-07-24 05:00:47,  2015-07-24 06:09:55,  2015-07-24 07:27:20,  2015-07-24 08:38:54,  2015-07-24 09:55:06,  2015-07-24 11:12:55,  2015-07-24 11:56:35

prokka,,,,,,,,,,,,,avg,stdev,min,max
User time (seconds),611.77,614.64,613.88,612.21,616.78,612.83,615.57,620.07,614.32,614.62,606.76,,613.9499999999999,3.314890646763489,606.76,620.07
System time (seconds),249.84,250.93,248.94,251.12,252.94,250.21,252.75,253.04,250.39,250.01,247.83,,250.72727272727272,1.6674297041200292,247.83,253.04
Fraction of CPU this job got,0.44,0.4,0.44,0.42,0.4,0.41,0.35,0.38,0.36,0.35,0.94,,0.4445454545454546,0.16747320002696767,0.35,0.94
Elapsed (wall clock) time in seconds,1954.31,2141.6,1947.78,2013.78,2174.14,2101.3,2459.44,2289.83,2358.58,2407.56,901.34,,2068.1509090909094,425.6026879721166,901.34,2459.44
Average shared text size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average unshared data size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average stack size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Average total size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Maximum resident set size (kbytes),207964.0,207960.0,208000.0,207960.0,207960.0,207964.0,209320.0,207960.0,207964.0,207964.0,207956.0,,208088.36363636365,408.66007212040495,207956.0,209320.0
Average resident set size (kbytes),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Major (requiring I/O) page faults,300.0,301.0,302.0,314.0,291.0,302.0,302.0,307.0,293.0,295.0,294.0,,300.09090909090907,6.700067842261681,291.0,314.0
Minor (reclaiming a frame) page faults,72907087.0,72775322.0,72197759.0,73410755.0,72595578.0,72511918.0,72327123.0,71867340.0,71886249.0,71818689.0,73157853.0,,72495970.27272727,536212.230325473,71818689.0,73410755.0
Voluntary context switches,1252108.0,1222470.0,1380762.0,1201797.0,1320761.0,1387401.0,1398047.0,1510044.0,1436783.0,1471824.0,1136443.0,,1338040.0,120556.64029741373,1136443.0,1510044.0
Involuntary context switches,295730.0,329694.0,337675.0,317540.0,312972.0,284304.0,317761.0,299958.0,311472.0,325275.0,292978.0,,311396.2727272727,16577.790522810385,284304.0,337675.0
Swaps,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
File system inputs,2646112.0,2646168.0,2646144.0,2646184.0,2646152.0,2646152.0,2646112.0,2646144.0,2646152.0,2646152.0,2646176.0,,2646149.8181818184,22.653115378764937,2646112.0,2646184.0
File system outputs,267696.0,274096.0,260992.0,275416.0,277624.0,269696.0,282288.0,265456.0,290944.0,288184.0,235400.0,,271617.45454545453,15166.128921802268,235400.0,290944.0
Socket messages sent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Socket messages received,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Signals delivered,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
Page size (bytes),4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,4096.0,,4096.0,0.0,4096.0,4096.0
Exit status,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
